	user_id	job_seeking_status	number_contacts	A1	A2	A3	A4	A5	action	pa_1	pa_2	pa_3	pa_4	pa_5	qtt_actions	timestamp
17330	3770	2	1	0	0	2	0	7	5	5	5	5	5	0	9	473218
17331	3770	2	1	0	0	2	0	7	5	5	5	5	0	0	9	474890
17332	3770	2	1	0	0	2	0	7	5	5	5	0	0	0	9	474953
17333	3770	2	1	0	0	2	0	7	3	5	0	0	0	0	9	476281
17334	3770	2	1	0	0	2	0	7	3	0	0	0	0	0	9	476353
17335	3771	3	6	0	0	1	4	0	3	4	4	4	3	0	5	25780
17336	3771	3	6	0	0	1	4	0	4	4	4	3	0	0	5	313685
17337	3771	3	6	0	0	1	4	0	4	4	3	0	0	0	5	315199
17338	3771	3	6	0	0	1	4	0	4	3	0	0	0	0	5	518488
17339	3771	3	6	0	0	1	4	0	4	0	0	0	0	0	5	552727
17340	3772	2	510	0	0	9	0	0	3	3	3	3	3	3	9	366018
17341	3772	2	510	0	0	9	0	0	3	3	3	3	3	3	9	366454
17342	3772	2	510	0	0	9	0	0	3	3	3	3	3	3	9	366647
17343	3772	2	510	0	0	9	0	0	3	3	3	3	3	3	9	366980
17344	3772	2	510	0	0	9	0	0	3	3	3	3	3	0	9	366981
17345	3772	2	510	0	0	9	0	0	3	3	3	3	0	0	9	367365
17346	3772	2	510	0	0	9	0	0	3	3	3	0	0	0	9	367366
17347	3772	2	510	0	0	9	0	0	3	3	0	0	0	0	9	367762
17348	3772	2	510	0	0	9	0	0	3	0	0	0	0	0	9	445333
17349	3773	3	75	0	0	0	7	0	4	4	4	4	4	4	7	544973
17350	3773	3	75	0	0	0	7	0	4	4	4	4	4	4	7	545075
17351	3773	3	75	0	0	0	7	0	4	4	4	4	4	0	7	545173
17352	3773	3	75	0	0	0	7	0	4	4	4	4	0	0	7	545194
17353	3773	3	75	0	0	0	7	0	4	4	4	0	0	0	7	545213
17354	3773	3	75	0	0	0	7	0	4	4	0	0	0	0	7	545427
17355	3773	3	75	0	0	0	7	0	4	0	0	0	0	0	7	545536
17356	3774	2	199	1	0	0	0	0	1	0	0	0	0	0	1	434372
17357	3775	3	430	0	0	9	0	0	3	3	3	3	3	3	9	26759
17358	3775	3	430	0	0	9	0	0	3	3	3	3	3	3	9	26760
17359	3775	3	430	0	0	9	0	0	3	3	3	3	3	3	9	26761
17360	3775	3	430	0	0	9	0	0	3	3	3	3	3	3	9	26762
17361	3775	3	430	0	0	9	0	0	3	3	3	3	3	0	9	26763
17362	3775	3	430	0	0	9	0	0	3	3	3	3	0	0	9	26764
17363	3775	3	430	0	0	9	0	0	3	3	3	0	0	0	9	26830
17364	3775	3	430	0	0	9	0	0	3	3	0	0	0	0	9	42913
17365	3775	3	430	0	0	9	0	0	3	0	0	0	0	0	9	42914
17366	3776	3	173	0	1	0	0	0	2	0	0	0	0	0	1	432449
17367	3777	3	205	0	0	0	2	0	4	4	0	0	0	0	2	529151
17368	3777	3	205	0	0	0	2	0	4	0	0	0	0	0	2	529385
17369	3779	3	303	0	0	0	1	3	5	5	5	5	0	0	4	247083
17370	3779	3	303	0	0	0	1	3	5	5	5	0	0	0	4	247267
17371	3779	3	303	0	0	0	1	3	5	5	0	0	0	0	4	380351
17372	3779	3	303	0	0	0	1	3	4	0	0	0	0	0	4	380457
17373	3780	2	61	0	0	1	0	0	3	0	0	0	0	0	1	476152
17374	3781	2	233	0	0	0	0	16	5	5	5	5	5	5	16	243964
17375	3781	2	233	0	0	0	0	16	5	5	5	5	5	5	16	243984
17376	3781	2	233	0	0	0	0	16	5	5	5	5	5	5	16	244002
